TSNE_1,TSNE_2
13.816798,1.2724508
8.639224,-0.85572433
12.015757,-6.6808753
6.5169187,-7.024665
13.340039,-12.555739
14.089899,2.0843625
5.4059243,-7.6306114
9.048916,-2.8635426
19.054401,-3.6955414
5.131823,2.0210452
0.021854322,-2.8058224
7.804663,-0.028651612
4.6515117,0.10727038
-6.4882016,3.048809
6.7300315,-1.178704
12.807495,-14.700011
2.1594236,4.392732
0.6759244,-2.8596075
-0.43475747,-4.624703
2.48589,-2.181474
1.757909,-0.39075065
5.918556,-6.26196
16.019762,-2.7689793
-12.677394,0.5131224
15.498753,-10.108095
3.3394482,-3.4400322
13.147961,-11.654606
0.35276926,4.014806
6.4511957,-8.391553
15.373857,0.23475507
-0.14839862,1.4426454
6.1656184,-4.2054853
15.569021,-3.6119008
0.054276068,-0.29979685
11.046997,-8.62485
6.8710194,2.2024515
3.339551,3.7910514
1.5849136,-3.1248512
-0.9504219,1.0186366
16.18231,-4.4546475
3.6921391,-4.7978435
5.766152,-4.305388
15.434978,-5.1098943
11.28535,-9.255891
4.533191,-5.4357243
-1.3750775,-4.8068876
11.555809,-11.889856
8.87987,-3.060395
16.503841,-3.4322782
14.297352,0.134329
1.3340837,0.26455736
11.371928,-0.97953796
8.891881,-7.032635
0.43071872,-5.6950355
7.5572615,2.1800354
12.94888,-5.0472503
-4.782742,-1.6368711
4.238507,-3.4522753
-0.21793965,-5.166169
12.886893,-6.3157024
3.3424585,1.4127904
-5.9064384,18.05983
-10.67788,12.403345
-6.639265,16.990345
-7.8715453,14.873714
-5.73031,3.238717
-5.5390887,4.7529545
-5.9385653,10.824659
-7.4720716,10.469497
-1.2604539,12.534742
-10.22268,-3.3113172
-4.4202576,-3.2464185
-3.997591,3.0687816
-4.4861984,13.062515
-7.319435,4.255708
0.77530855,-4.8473577
-5.859015,12.511966
-1.690342,14.696139
-20.708857,-1.6902343
-5.41497,1.6895323
-8.301105,13.845601
-7.073373,8.126736
-5.434488,11.129396
-7.2337375,13.4787655
-6.9471483,17.65765
-7.064426,14.014095
-7.803696,16.312117
-4.0401883,15.313317
-5.5948954,15.645478
-6.260542,6.2280025
-7.341667,11.382616
-4.8735647,14.939927
-5.854228,13.1200075
-6.644962,14.892901
-5.646261,4.721309
-5.6915407,16.969692
-2.887495,13.496033
-9.19868,14.25961
-3.6658065,16.238684
-5.6583314,9.387648
-6.7694616,5.758146
-13.195817,-0.43998656
-1.028642,-3.1026783
-6.57795,10.133859
-9.856784,1.248904
-3.2268064,-2.368903
-1.8876417,8.770486
-2.788649,9.770031
-4.868869,14.207949
-12.021896,-3.2802331
-2.7449417,8.001163
-3.0653348,10.215909
-5.498749,16.81115
0.7667924,7.3309712
-3.6732326,3.6062372
-4.8656483,3.620198
0.55790335,-2.0022855
-7.6420116,1.4448117
-8.726645,2.4288611
-6.937951,3.4975734
-8.293593,16.105844
-1.2807306,9.290151
-2.7974236,12.382467
-10.611371,5.1940417
-0.39519852,6.689394
-8.593704,8.864796
1.4083703,7.040002
-12.653664,-3.449684
-7.967195,13.109441
-6.952481,12.379346
0.933461,3.4043384
-1.6620101,10.124046
-4.5966926,9.43502
-6.112362,13.841597
-9.742219,12.005441
0.73371905,7.338576
-3.6691844,14.173134
-5.1365714,5.8668747
-9.672368,-3.0516403
-4.68952,11.742971
18.425512,-3.1976068
15.320253,-13.8286705
12.213708,1.5581155
8.5312395,-9.88351
11.015612,-1.2763212
-10.933487,0.3062737
4.893971,3.390705
14.900363,-0.49925008
17.831709,-3.1671019
1.4293325,-3.018086
6.7147956,1.5545344
11.687891,-5.637733
14.691641,-12.268428
13.016213,-8.440916
11.0237,-8.03499
11.997202,0.8344278
16.238432,-1.682079
19.10093,-3.1115186
14.535593,-6.05153
9.931919,-0.27074108
9.3178005,-8.671116
10.174139,-10.443404
-5.1215973,-3.7590477
15.77389,-12.592038
11.062644,-10.815946
19.022919,-2.390589
15.2843685,-8.005467
12.883616,-8.380105
5.841768,3.109554
1.5707285,-4.895134
17.433382,-5.5756235
8.25814,2.6319242
15.784728,-13.285129
-0.87959206,2.5820491
11.378866,-12.1696615
6.3801117,-7.114986
14.755992,-12.869397
8.816995,-10.308136
16.816586,-7.5880713
11.310152,-2.035132
13.363494,0.82426363
7.204345,-1.2900215
14.770032,-11.6071
17.057493,-5.9435964
2.5819948,-3.4706213
12.188125,0.5466583
13.91457,-11.786226
19.991686,-4.0487723
17.023735,-12.628936
0.07882157,-1.6989152
-9.349638,2.976228
-12.113466,5.2454686
-1.3156124,-1.0033435
-13.209784,-3.5054102
-1.3137238,-2.192239
-9.768628,4.5506577
-10.898504,2.5977736
-2.971895,5.041425
-10.606978,1.2089611
-14.482884,1.6459806
-8.332565,12.48665
-13.86216,-0.05396392
-10.890872,-1.1776886
-10.246154,2.3151357
-8.850484,4.9210973
-7.0002646,-0.81990194
-7.9300127,-0.8119996
-13.31502,-2.9968636
-7.7784247,7.479134
-12.031525,-1.9918269
-5.080896,-0.98440033
-2.8752487,5.449902
-9.271323,-1.0676
-8.765714,4.114085
-4.102539,-1.2107055
-5.743729,7.3784432
-7.8822627,6.2335725
-3.9686208,11.941059
-11.691558,2.1854136
-8.813205,6.066393
-12.431546,1.4577037
-10.171626,4.394695
-13.603404,1.4399912
-8.2653885,6.9290123
-4.01859,8.191403
-14.251822,1.120977
-10.093542,3.35201
-12.924326,0.09225812
-14.354307,-3.9156098
-11.199413,4.032959
-18.597519,-3.2607627
-18.343447,-4.1750326
-16.672905,-5.5117426
-17.037561,-2.217472
-19.966738,1.150761
-18.088326,1.0962299
-17.467873,-2.266535
-19.09696,-1.802345
-16.206442,-4.728849
-19.466864,-2.6622348
-21.016005,-3.9992752
-18.395905,0.2825424
-16.105238,0.42056108
-19.68702,-3.4258149
-16.779774,-1.2583097
-20.787752,0.836662
-21.102417,-0.145264
-21.019125,-3.5269477
-20.005032,-0.4681488
-20.533468,0.3314563
-16.904333,-4.57119
-21.533855,0.51228774
-19.155495,-0.05173307
-17.378113,-3.418413
-20.44631,-2.9611888
-18.13156,-2.4796662
-17.658585,-1.3098142
-18.216726,-0.5680313
-18.172533,-3.5011606
-19.6697,0.85695064
-21.155441,-2.20274
-20.48404,1.6832075
-17.041412,-0.85038906
-15.879886,-3.919389
-15.739581,-0.91673774
14.172911,-2.9648259
8.104167,-5.39773
14.580883,-8.188338
13.854574,-3.5607603
16.195923,-8.283301
17.644983,-1.9111799
15.23138,1.502936
13.43822,-2.621636
13.995643,-1.133386
14.0562725,-1.6310842
8.4308195,-5.5609193
1.1513742,-1.1890314
3.1807609,-1.7413106
10.071163,-3.2370052
8.059968,-3.004758
10.520348,-7.614617
10.106809,-7.518029
10.909941,-2.9605646
14.753297,-4.4454947
12.977362,-3.9130805
13.0563,3.655365
13.67693,-10.504066
13.366716,-5.48033
9.766731,-8.346783
13.969459,-0.625506
8.029217,-4.665769
13.00625,-6.850652
13.49819,2.7372143
3.3971317,-1.5500224
4.5327525,-7.5821853
14.896729,-8.23094
17.128544,-3.3752832
14.359308,-3.8826437
10.129477,-5.784641
12.4637985,-7.1817217
